[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 50000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 5000
[Epoch 1] Step 5500/6250 Loss: 0.0458 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5550/6250 Loss: 0.0456 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5600/6250 Loss: 0.0453 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5650/6250 Loss: 0.0448 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5700/6250 Loss: 0.0442 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5750/6250 Loss: 0.0444 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5800/6250 Loss: 0.0461 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5850/6250 Loss: 0.0444 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5900/6250 Loss: 0.0414 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5950/6250 Loss: 0.0451 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 6000/6250 Loss: 0.0441 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 6050/6250 Loss: 0.0422 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 6100/6250 Loss: 0.0431 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 6150/6250 Loss: 0.0431 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 6200/6250 Loss: 0.0435 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 6250/6250 Loss: 0.0431 | 0.06s/step | ETA 00:00m
[Epoch 1] ValLoss: 0.0715 | Acc: 0.9758 | mIoU: 0.2920 | 6.9 min
[Checkpoint] Saved to /home/channagiri.b/SmallData_Project/Output_Sanity/segformer_b2_best.pth
[Checkpoint] Saved to /home/channagiri.b/SmallData_Project/Output_Sanity/segformer_b2_epoch_1.pth
[Training Complete]
